timestamp,open,high,low,close,volume
2021-10-27 20:00:00,125.5400,125.5400,125.5400,125.5400,204
2021-10-27 19:50:00,125.7300,125.7400,125.5000,125.5000,2616
2021-10-27 19:45:00,125.5100,125.5100,125.5100,125.5100,405
2021-10-27 19:30:00,125.4200,125.4200,125.4200,125.4200,298
2021-10-27 19:05:00,125.4500,125.4500,125.4500,125.4500,118
2021-10-27 19:00:00,125.4500,125.4500,125.4500,125.4500,100
2021-10-27 18:55:00,125.3900,125.3900,125.3900,125.3900,100
2021-10-27 18:45:00,125.3500,125.3500,125.3500,125.3500,1781
2021-10-27 18:40:00,125.3500,125.3500,125.3500,125.3500,612
2021-10-27 18:35:00,125.3500,125.3500,125.3500,125.3500,140
2021-10-27 18:30:00,125.3400,125.3700,125.3400,125.3700,2579
2021-10-27 18:25:00,125.3500,125.3500,125.3500,125.3500,100
2021-10-27 18:10:00,125.3500,125.3500,125.3500,125.3500,177
2021-10-27 18:05:00,125.3500,125.3500,125.3500,125.3500,318
2021-10-27 17:55:00,125.1500,125.1500,125.1500,125.1500,311
2021-10-27 17:50:00,125.2500,125.2500,125.2500,125.2500,201
2021-10-27 17:45:00,125.3400,125.3400,125.3400,125.3400,501
2021-10-27 17:25:00,125.2700,125.2700,125.2700,125.2700,176
2021-10-27 17:15:00,125.1800,125.2000,125.1800,125.2000,922
2021-10-27 16:55:00,125.1600,125.1600,125.1600,125.1600,529
2021-10-27 16:45:00,125.0201,125.0700,125.0201,125.0700,2055
2021-10-27 16:40:00,125.0300,125.0300,125.0300,125.0300,510
2021-10-27 16:35:00,125.1000,125.1700,125.1000,125.1500,22345
2021-10-27 16:30:00,125.0700,125.1000,125.0700,125.1000,780
2021-10-27 16:25:00,125.1500,125.2200,125.1500,125.2200,1436
2021-10-27 16:20:00,125.1500,125.1800,125.1500,125.1500,2146
2021-10-27 16:15:00,125.2100,125.2100,125.1500,125.1500,5385
2021-10-27 16:10:00,125.2200,125.2200,125.2200,125.2200,105
2021-10-27 16:05:00,125.1700,125.2700,125.1700,125.2200,48145
2021-10-27 16:00:00,125.2250,125.3200,125.1500,125.1600,347202
2021-10-27 15:55:00,125.2500,125.3000,125.2100,125.2250,142525
2021-10-27 15:50:00,125.3100,125.3800,125.2200,125.2550,111304
2021-10-27 15:45:00,125.2400,125.4100,125.2300,125.3200,90961
2021-10-27 15:40:00,125.2902,125.4000,125.2200,125.2600,81934
2021-10-27 15:35:00,125.1900,125.3400,125.1500,125.2950,94061
2021-10-27 15:30:00,125.1050,125.2000,125.0750,125.1900,80628
2021-10-27 15:25:00,125.0550,125.1100,125.0200,125.1100,72187
2021-10-27 15:20:00,125.0199,125.1200,125.0199,125.0550,61325
2021-10-27 15:15:00,125.1900,125.1900,125.0100,125.0100,90981
2021-10-27 15:10:00,125.1800,125.2300,125.1500,125.1950,55362
2021-10-27 15:05:00,125.2150,125.2150,125.1300,125.1800,44845
2021-10-27 15:00:00,125.1650,125.2300,125.0800,125.2147,80050
2021-10-27 14:55:00,125.1550,125.2244,125.1360,125.1650,52854
2021-10-27 14:50:00,125.1250,125.1600,125.0300,125.1583,85154
2021-10-27 14:45:00,125.1400,125.2000,125.1000,125.1200,45533
2021-10-27 14:40:00,125.0600,125.1750,125.0500,125.1381,58101
