timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-10-11,349418.65322700,369747.63100800,347859.15406200,367397.09914500,54659.01000000,57839.04000000,54415.06000000,57471.35000000,52933.16575100,52933.16575100
2021-10-10,351277.07504400,361579.48643700,345717.21600000,349418.58930000,54949.72000000,56561.31000000,54080.00000000,54659.00000000,89237.83612800,89237.83612800
2021-10-09,344922.41160900,354724.53030000,343042.95780900,351277.07504400,53955.67000000,55489.00000000,53661.67000000,54949.72000000,55177.08013000,55177.08013000
2021-10-08,343832.77589400,358630.47000000,342761.29544700,344895.30656100,53785.22000000,56100.00000000,53617.61000000,53951.43000000,46160.25785000,46160.25785000
2021-10-07,353612.20050000,353722.85813700,341095.29390000,343832.77589400,55315.00000000,55332.31000000,53357.00000000,53785.22000000,54917.37766000,54917.37766000
2021-10-06,329044.99047300,356393.02500000,322079.63240700,353612.20050000,51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100,79877.54518100
2021-10-05,314680.21001100,331693.55001000,313385.49648000,329044.99047300,49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000,52125.66793000
2021-10-04,308128.20392700,316669.55432400,299760.09570000,314680.27393800,48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000,46796.49372000
2021-10-03,304515.56130300,314700.34701600,301019.45760000,308128.20392700,47634.89000000,49228.08000000,47088.00000000,48200.01000000,30825.05601000,30825.05601000
2021-10-02,307754.80632000,309001.31889300,303206.91168600,304515.62523000,48141.60000000,48336.59000000,47430.18000000,47634.90000000,30508.98131000,30508.98131000
2021-10-01,280128.17792700,310013.98650000,276695.42588100,307754.87024700,43820.01000000,48495.00000000,43283.03000000,48141.61000000,66244.87492000,66244.87492000
2021-09-30,265452.32868300,282182.53599900,264722.79375900,280154.32407000,41524.29000000,44141.37000000,41410.17000000,43824.10000000,46381.22781000,46381.22781000
2021-09-29,262260.58142700,272265.09300000,260527.32867600,265452.26475600,41025.01000000,42590.00000000,40753.88000000,41524.28000000,33511.53487000,33511.53487000
2021-09-28,269435.36434500,273526.88412600,261384.71760000,262270.36225800,42147.35000000,42787.38000000,40888.00000000,41026.54000000,43372.26240000,43372.26240000
2021-09-27,275914.68543000,283516.24500000,269119.88460000,269435.36434500,43160.90000000,44350.00000000,42098.00000000,42147.35000000,39776.84383000,39776.84383000
2021-09-26,272780.53640100,280959.16500000,260502.52500000,275914.68543000,42670.63000000,43950.00000000,40750.00000000,43160.90000000,49879.99765000,49879.99765000
2021-09-25,273675.19476600,274674.11806800,266232.17415600,272780.60032800,42810.58000000,42966.84000000,41646.28000000,42670.64000000,33594.57189000,33594.57189000
2021-09-24,286810.14760200,288950.04000000,260023.07250000,273675.13083900,44865.26000000,45200.00000000,40675.00000000,42810.57000000,84113.42629200,84113.42629200
2021-09-23,278378.87949900,287530.86060000,275327.77164300,286810.14760200,43546.37000000,44978.00000000,43069.09000000,44865.26000000,48699.57655000,48699.57655000
2021-09-22,260400.81714300,281282.31598500,259322.36865300,278361.23564700,40734.09000000,44000.55000000,40565.39000000,43543.61000000,58349.05542000,58349.05542000
2021-09-21,274992.47452800,278971.03530000,253150.92000000,260402.67102600,43016.64000000,43639.00000000,39600.00000000,40734.38000000,84534.08048500,84534.08048500
2021-09-20,302002.33522500,302676.76507500,271689.75000000,274985.95397400,47241.75000000,47347.25000000,42500.00000000,43015.62000000,78003.52444300,78003.52444300
2021-09-19,308721.06292500,309232.99034100,299364.89898600,302002.33522500,48292.75000000,48372.83000000,46829.18000000,47241.75000000,29847.24349000,29847.24349000
2021-09-18,302374.58214600,312239.92464000,300684.22441200,308720.99899800,47299.98000000,48843.20000000,47035.56000000,48292.74000000,30906.47038000,30906.47038000
2021-09-17,305173.49798700,307808.50500000,298536.27721200,302374.58214600,47737.81000000,48150.00000000,46699.56000000,47299.98000000,34461.92776000,34461.92776000
2021-09-16,307625.67378000,310410.33390000,300591.78597000,305173.56191400,48121.40000000,48557.00000000,47021.10000000,47737.82000000,40725.08895000,40725.08895000
2021-09-15,301117.13805600,310045.95000000,298426.06706400,307625.73770700,47103.28000000,48500.00000000,46682.32000000,48121.41000000,43204.71174000,43204.71174000
2021-09-14,287292.54074400,302055.07500000,285078.87658800,301169.81390400,44940.72000000,47250.00000000,44594.44000000,47111.52000000,44855.85099000,44855.85099000
2021-09-13,294225.48782100,299689.77600000,277251.39900000,287292.60467100,46025.23000000,46880.00000000,43370.00000000,44940.73000000,65429.15056000,65429.15056000
2021-09-12,288781.78413600,297004.84200000,286022.56696200,294225.55174800,45173.68000000,46460.00000000,44742.06000000,46025.24000000,32094.28052000,32094.28052000
2021-09-11,286662.73194000,293987.04011100,285895.73579400,288781.84806300,44842.20000000,45987.93000000,44722.22000000,45173.69000000,30440.40810000,30440.40810000
2021-09-10,296590.21147800,300667.85910000,282124.49028300,286718.41235700,46395.14000000,47033.00000000,44132.29000000,44850.91000000,49048.26618000,49048.26618000
2021-09-09,294373.03133700,303013.78821900,290951.46651600,296590.21147800,46048.31000000,47399.97000000,45513.08000000,46395.14000000,50651.66002000,50651.66002000
2021-09-08,299616.70743900,302636.74677300,283912.72025400,294373.03133700,46868.57000000,47340.99000000,44412.02000000,46048.31000000,65069.31520000,65069.31520000
2021-09-07,336679.21674000,338301.68400000,273882.76573500,299585.76677100,52666.20000000,52920.00000000,42843.05000000,46863.73000000,123048.80271900,123048.80271900
2021-09-06,330866.20677600,337406.70600000,325831.63589100,336664.51353000,51756.88000000,52780.00000000,50969.33000000,52663.90000000,49249.66708100,49249.66708100
2021-09-05,319107.85795800,331781.13000000,316119.01500000,330866.20677600,49917.54000000,51900.00000000,49450.00000000,51756.88000000,40544.83587300,40544.83587300
2021-09-04,319622.21460000,323059.50546300,315607.59900000,319095.71182800,49998.00000000,50535.69000000,49370.00000000,49915.64000000,34664.65959000,34664.65959000
